%	pa1+1
0	ling2+3
1	Shi2+1,yi1+2
2	er4+4
3	san1+3
5	wu3+2
6	liu4+1
8	ba1+2
9	jiu3+3
B	bi1+4
ˋ	xx5+1
π	Pai4+1
□	biang4+1,biu1+1,ging1+1
○	ling2+1
⺮	zhu2+1
々	xx+1
〇	ling2+1
〡	yi1+1
〢	er4+1
〣	san1+1
〤	si4+1
〥	wu3+1
〦	liu4+1
〧	qi1+1
〨	ba1+1
〩	jiu3+1
〻	xx5+1
ㄅ	xx5+1
ㄤ	xx5+1
ㄧ	xx5+1
㍻	xx5+1
㍼	xx5+1
㍽	xx5+1
㍾	xx5+1
㐄	kua4+1
㐅	wu3+1
㐆	yin3+1
㐌	ta1+1
㐖	Xie2+1,xie2+1
㐜	chou2+1
㐡	nuo4+1
㐤	qiu2+1
㐫	xiong1+1
㐰	xin4+1
㐷	ma4+1
㐺	zhong4+1
㑇	zhou4+1
㑩	luo2+1,luo5+1
㒳	liang3+1
㒸	sui4+1
㔾	jie2+1
㕥	shen1+1
㕯	ne4+1
㕻	pou3+1
㖊	xun2+1
㖞	wai1+1
㗂	sheng3+1
㗎	jia4+1
㚻	ji1+2
㛀	chu2+1
㛂	nuo3+1
㝄	chun2+1
㝇	chun2+1
㝉	zhu4+1
㝵	ai4+1,de2+1
㞎	ba3+3,ba5+2
㞗	qiu2+1
㞙	niao4+1
㟥	cen1+1
㢲	xun4+1
㢴	xi1+1
㣟	xi4+1
㤅	ai4+1
㤽	chou2+3
㥁	de2+1
㥏	tian3+1
㥯	yin3+1
㦂	chang2+1
㧑	hui1+3
㧯	lao3+1
㧰	lu:e4+1
㨃	dui3+1
㨫	lan3+1
㩐	den4+1
㪃	he2+1
㪋	han4+1
㫺	xi1+1
㬎	xian3+1
㮎	bei1+1
㮚	li4+1
㮸	song4+1
㯳	qing2+1
㱩	du2+1
㱮	kui4+1
㱾	gai1+1
㲈	shao2+1,tao2+1
㲋	chuo4+1
㲱	lie4+1
㲾	yu3+1
㳂	yan2+1
㳮	niao4+1
㴋	xiao1+1
㵪	xian2+1
㵮	chun2+1
㶉	xi1+2
㶶	nong2+1
㶸	xie2+1
㷖	zhao4+1
㷭	feng1+1
㹠	tun2+1
㹢	jia1+2
㹴	geng3+4
㺍	bian1+1
㺢	huo4+2
㺵	jiu3+1
㻅	hui4+1
㻽	xuan2+1
㽮	xing1+1
㿝	xiang1+1
䁖	lou1+1,lou5+1
䂖	shi2+1
䂲	fa3+1
䂶	jie2+1
䃉	min2+1
䅟	shan1+1
䅵	zhuo2+1
䇲	ce4+1
䉤	sou3+1
䌷	chou2+1
䌸	zhuan4+1
䌹	jiong3+1
䌽	cai3+2
䍁	sui4+1
䍃	yao2+1
䍹	shan1+1
䒗	qi4+1
䓕	wei3+1
䓖	qiong2+2
䔢	hua2+1
䕭	qian2+1,xian2+1
䖟	meng2+1
䖸	e2+1
䗈	meng2+1
䗖	di4+2
䗥	zong1+2
䗪	zhe4+1
䗶	la4+1
䙓	bai3+1
䛟	jia2+1
䜣	xin1+3
䜩	yan4+1
䝓	lie4+1
䝙	chu1+1
䞓	cheng1+1
䟆	bi4+1
䟖	zhi3+1
䠀	chang3+1
䠞	cu4+1
䤈	xi1+1
䥯	ba4+1
䦆	jue2+1
䦉	si4+1
䦕	peng1+1
䩄	mian3+1
䩦	tiao2+1
䫏	qi1+1
䬠	fei1+1
䬪	bo2+1
䯄	gua1+1
䯝	sui3+1
䲔	jing1+1
䲟	yin4+1
䲠	chun1+2
䳗	e2+1
䳭	ji2+1
䴓	shi1+12
䴔	jiao1+1
䴕	lie4+3
䴗	ju2+12
䴘	ti1+9
䴙	pi4+9
䵹	zhi1+1
䶑	ti4+1
䶮	yan3+1
一	Yi1+23,yi1+1171,yi5+1
丁	Ding1+17,ding1+138,ding5+1,zheng1+2
丂	kao3+1
七	Qi1+27,qi1+87
丄	shang4+1
丅	xia4+1
丆	xx5+1
万	Mo4+2,Wan4+72,wan4+176
丈	zhang4+35,zhang5+2
三	San1+124,san1+447,san3+1
上	Shang4+68,shang3+3,shang4+511,shang5+24
下	Xia4+11,xia4+511,xia5+12
丌	Ji1+1,ji1+1,qi2+1
不	Bu4+20,bu2+2,bu4+2059,bu5+148
与	yu2+1,yu3+61,yu4+6
丏	mian3+1
丐	gai4+5
丑	Chou3+2,chou3+48
丒	chou3+1
专	Zhuan1+1,zhuan1+110
且	Qie3+3,qie3+25
丕	Pi1+1,pi1+2
世	Shi4+59,shi4+251
丗	shi4+1
丘	Qiu1+11,qiu1+55
丙	Bing3+2,bing3+45
业	Ye4+1,ye4+341
丛	Cong2+3,cong1+1,cong2+18
东	Dong1+192,dong1+236
丝	Si1+3,si1+145
丞	Cheng2+1,cheng2+2
丠	qiu1+1
両	liang3+1
丢	diu1+32
丣	you3+1
两	Liang3+9,liang3+150
严	Yan2+4,yan2+78,yan3+1
丧	sang1+30,sang4+41,sang5+3
丨	gun3+1,shu4+1
丩	jiu1+1
个	Ge4+2,ge3+1,ge4+95,ge5+44
丫	ya1+15
丬	qiang2+1
中	Zhong1+390,Zhong4+1,zhong1+501,zhong4+70
丮	ji3+1
丰	Feng1+32,feng1+77
丱	guan4+1,kuang4+1
串	chuan4+40
丳	chan3+1
临	Lin2+74,lin2+103
丵	zhuo2+1
丶	zhu3+1
丷	ba1+1,xx5+1
丸	Wan2+1,wan2+27
丹	Dan1+33,dan1+75,dan5+16
为	wei2+255,wei4+29,wei5+1
主	Zhu3+5,zhu3+490
丼	dong4+1,jing3+1
丽	Li2+4,Li4+14,li2+10,li4+92
举	Ju3+1,ju3+117,ju5+1
丿	pie3+1
乀	fu2+1,pie3+1
乂	yi4+1
乃	Nai3+4,nai3+18
久	Jiu3+3,jiu3+82
乆	jiu3+1
乇	tuo1+1,zhe2+1
么	ma2+2,ma5+1,me5+46,mo2+1
义	Yi4+21,yi4+402,yi5+1
乊	xx5+1
之	Zhi1+5,zhi1+525
乌	Wu1+92,wu1+93
乍	Zha4+4,zha4+10
乎	hu1+53,hu5+9
乏	fa2+25
乐	Lao4+2,Le4+36,Yue4+6,le4+177,yue4+95
乑	zhong4+1
乒	ping1+5
乓	pang1+5
乔	Qiao2+31,qiao2+13
乕	hu3+1
乖	guai1+22,guai5+1
乗	cheng2+1
乘	Cheng2+2,cheng2+60,sheng4+4
乙	Yi3+2,yi3+63,zhe2+1
乚	ya4+1
乛	zhe2+1
乜	mie1+3
九	Jiu3+39,jiu3+72
乞	Qi3+2,qi3+17,qi5+1
也	Ye3+2,ye3+28
习	Xi2+5,xi2+77
乡	Xiang1+4,xiang1+358
乢	gai4+1
乣	jiu3+1
乤	xx5+1
乥	xx5+1
书	Shu1+10,shu1+340
乧	xx5+1
乨	shi3+1
乩	ji1+4
乪	nang1+1
乫	xx5+1
乭	shi2+1
买	Mai3+1,mai3+61
乱	Luan4+4,luan4+149
乳	Ru3+4,ru3+103
乴	xue2+1
乵	yan3+1
乶	Fu3+1,fu3+1
乷	xx5+1
乸	na3+1
乺	xx5+1
乼	xx5+1
乾	Qian2+8,qian2+11
乿	luan4+1,zhi4+1
亀	gui1+1
亃	lin2+1
亄	yi4+1
亅	jue2+1
了	le5+82,liao3+86,liao4+1
亇	ge4+1
予	Yu2+1,Yu3+2,yu2+2,yu3+17
争	Zheng1+2,zheng1+133
亊	shi4+1
事	Shi4+17,shi4+512,shi5+16
二	Er4+38,er2+1,er4+315
亍	chu4+2
于	Yu2+10,yu2+181
亏	kui1+40
亐	yu2+1
云	Yun2+39,yun2+166
互	Hu4+5,hu1+1,hu4+58
亓	Qi2+1,qi2+1
五	Wu3+66,wu3+181
井	Jing3+12,jing3+85
亖	si4+1
亘	gen4+7
亚	Ya4+127,ya4+385
些	xie1+17
亜	ya4+1
亝	qi2+1
亟	ji2+3,qi4+1
亠	tou2+1
亡	Wang2+1,wang2+69,wang4+1
亢	Kang4+1,kang4+10
交	Jiao1+29,jiao1+327
亥	hai4+11
亦	Yi4+1,yi4+12
产	Chan3+3,chan3+244
亨	Heng1+9,heng1+17
亩	mu3+9
亪	xx5+1
享	xiang3+30
京	Jing1+36,jing1+84
亭	Ting2+4,ting2+37
亮	Liang4+10,liang4+66,liang5+7
亲	Qin1+2,qin1+160,qin2+1,qing4+3
亳	Bo2+3
亵	xie4+12
亶	Dan3+1,dan3+1
亸	duo3+1
亹	men2+1,wei3+5
人	Ren2+43,ren2+1578,ren5+13
亻	ren2+1
亼	ji2+1
亽	ji2+1,xx5+1
亿	Yi4+1,yi4+11
什	Shi2+4,shen2+23,shi2+63,shi5+1
仁	Ren2+30,ren2+109
仂	le4+2
仃	ding1+5
仄	ze4+5
仅	jin3+13
仆	pu1+4,pu2+17
仇	Qiu2+1,chou2+41,qiu2+1
仈	Ba1+1
仉	Zhang3+1
今	Jin1+3,jin1+66
介	Jie4+5,jie4+57
仌	bing1+1
仍	reng2+4
从	Cong2+6,cong2+121
仏	fo2+1
仑	Lun2+2,lun2+28
仒	xx5+1
仓	Cang1+4,cang1+42
仔	Zai3+1,zai3+21,zi1+2,zi3+12,zi5+1
仕	shi4+9
他	Ta1+2,ta1+66
仗	zhang4+33,zhang5+2
付	Fu4+1,fu4+70,fu5+5
仙	Xian1+17,xian1+92
仚	xian1+1
仞	ren4+1
仟	qian1+2
仡	Ge1+4,yi4+1
代	Dai4+10,dai4+297
令	Ling2+3,Ling4+1,ling2+2,ling3+1,ling4+141
以	Yi3+25,yi3+252
仨	sa1+1
仪	Yi2+8,yi2+77,yi4+2
仫	Mu4+3,mu4+1
们	men2+3,men5+20
仮	jia3+1
仰	Yang3+5,yang3+36
仲	Zhong4+11,zhong4+13
仳	pi3+1
仵	Wu3+1,wu3+3
件	jian4+148
价	Jia4+1,ga5+1,jia4+164,jie5+1
任	Ren2+5,Ren4+6,ren4+138
份	fen4+59,fen5+1
仿	fang3+35
伀	zhong1+1
企	qi3+51,qi4+1
伄	diao4+2
伇	yi4+1
伈	xin3+1
伉	kang4+3
伊	Yi1+96,yi1+57
伋	ji2+1
伍	Wu3+10,wu3+13
伎	ji4+7
伏	Fu2+12,fu2+76,fu5+1
伐	fa2+31
休	Xiu1+14,xiu1+64
伕	fu1+1
众	Zhong4+4,zhong4+108
优	You1+8,you1+65
伙	huo3+33,huo5+5
会	Hui4+21,hui4+608,kuai4+8
伛	yu3+1
伜	cui4+1
伝	chuan2+1,yun2+1
伞	san3+29
伟	Wei3+4,wei3+23
传	Chuan2+7,Zhuan4+13,chuan2+253,zhuan4+34
伢	ya2+3
伣	qian4+1
伤	shang1+153
伥	chang1+3
伦	Lun2+9,lun2+100
伧	cang1+1,chen5+1
伩	xin4+1
伪	Wei3+1,wei3+29
伫	zhu4+4
伯	Ba4+1,Bo2+32,ba4+2,bai3+2,bai5+1,bo2+155,bo5+2
估	gu1+26,gu4+2,gu5+1
伱	ni3+1
伲	ni3+1,ni4+1
伴	Ban4+2,ban4+53
伶	ling2+16,ling5+1
伸	Shen1+2,shen1+26
伹	qu1+1
伺	ci4+3,si4+7
伻	beng1+1
似	shi4+2,si4+50
伽	Jia1+11,ga1+4,jia1+11,qie2+2
伾	pi1+2
佃	dian4+4,tian2+1
但	Dan4+3,dan4+16
佉	Qu1+2,qia1+1
佌	ci3+1
位	wei4+232
低	di1+140
住	Zhu4+4,zhu4+124,zhu5+3
佐	Zuo3+9,zuo3+12
佑	you4+8
体	Ti3+7,ti1+2,ti3+585
何	He2+8,he2+108
佗	Tuo2+1,tuo2+1
佘	She2+1
余	Yu2+12,yu2+121,yu5+1
佚	Yi4+1,die2+1,yi4+4
佛	Fo2+53,Fu2+5,fo2+73,fu2+6
作	Zuo4+7,zuo1+3,zuo2+1,zuo4+367,zuo5+3
佝	gou1+3,kou4+2
佞	ning4+4
佟	Tong2+2
你	ni3+28
佡	xian1+1
佢	qu2+1
佣	yong1+13,yong4+4
佤	Wa3+6,wa3+3
佥	qian1+1
佧	Ka3+1,ka3+1
佩	Pei4+8,pei4+32
佪	huai2+2
佫	He4+1
佬	lao3+25
佯	yang2+6
佰	bai3+2
佱	fa3+1
佳	Jia1+17,jia1+43
佴	er4+1
佶	ji2+1
佷	hen3+1
佸	huo2+1
佹	gui3+1
佺	quan2+1
佻	tiao1+2
佼	jiao3+3
佽	Ci4+1,ci4+1
佾	yi4+1
使	Shi3+1,shi3+110,shi5+1
侀	xing2+1
侁	shen1+1
侂	tuo1+1
侃	kan3+12
侄	zhi2+13
侅	gai1+1
侇	yi2+1
侈	chi3+8
侉	kua3+2
例	li4+65
侌	yin1+1
侍	shi4+19,shi5+2
侏	Zhu1+2,zhu1+6
侐	xu4+1
侑	you4+1
侔	mou2+1
侗	Dong4+9,dong4+2,tong2+2
侘	cha4+1
侚	xun4+1
供	gong1+43,gong4+29
侜	zhou1+1
依	Yi1+10,yi1+70
侠	Xia2+2,xia2+23
価	jia4+1
侢	dai4+1
侣	lu:3+13
侥	Yao2+1,jiao3+3
侦	Zhen1+1,zhen1+25
侧	ce4+53,zhai1+1
侨	Qiao2+1,qiao2+14
侩	kuai4+3
侪	chai2+8
侬	nong2+6
侮	wu3+10
侯	Hou2+6,hou2+22
侵	qin1+38
侽	nan2+1
便	bian4+115,pian2+13
促	Cu4+2,cu4+32
俄	E2+42,e2+19
俅	qiu2+1
俉	wu2+2
俊	Jun4+7,jun4+15,zun4+1
俎	zu3+5
俏	qiao4+13
俐	Li4+1,li4+8,li5+1
俑	yong3+5
俗	su2+73
俘	fu2+7
俚	Li3+1,li3+6
俛	mian3+1
俜	ping1+2
保	Bao3+38,bao3+247
俞	Yu2+4,shu4+2,yu2+1
俟	qi2+2,si4+4
信	Xin4+23,xin4+280
俣	yu3+3
俤	di4+1
俦	chou2+1
俨	yan3+4
俩	lia3+5,liang3+2
俪	li4+5
俭	jian3+42
修	Xiu1+11,xiu1+138
俯	fu3+23
俱	Ju4+3,ju4+29
俳	pai2+3
俴	jian4+1
俵	biao3+1
俶	chu4+1
俷	fei4+1
俸	feng4+27
俺	an3+1
俾	Bi3+3,bi3+8
倂	bing4+1
倃	jiu4+1
倅	cui4+1
倌	guan1+4
倍	bei4+44
倏	shu1+6
倒	Dao3+1,dao3+114,dao4+75
倓	tan2+1
倔	jue2+2
倘	chang2+2,tang3+6
候	hou4+70,hou5+9
倚	Yi3+1,yi3+14
倜	ti4+2
倝	gan4+1
倞	jing4+1,liang4+1
借	jie4+89
倡	chang1+1,chang4+16
倢	jie2+1
値	zhi2+1
倥	kong1+2,kong3+3
倦	juan4+15
倨	ju4+3
倩	Qian4+1,qian4+5
倪	Ni2+6,ni2+8
倬	zhuo1+1
倭	Wo1+2,wo1+7
倮	luo3+1
倵	wu3+1
倶	ju4+1
倷	nai3+1
倹	jian3+1
债	zhai4+59
倻	ye1+3
值	zhi2+122
倽	sha2+1
倾	qing1+66
偁	cheng1+3
偃	Yan3+3,yan3+2
假	Jia4+1,gei1+2,jia3+122,jia4+39
偈	ji4+1,jie2+1
偌	ruo4+2
偎	wei1+3
偏	Pian1+2,pian1+101
偓	wo4+1
偕	xie2+5
做	zuo4+117
停	Ting2+1,ting2+72
偝	bei4+1
偟	huang2+1
偢	chou3+1
健	Jian4+7,jian4+48
偨	ci1+1
偩	fu4+1
偫	zhi4+1
偬	zong3+3
偭	mian3+1
偯	yi3+1
偰	xie4+1
偱	xun2+1
偲	si1+1
偶	ou3+51
偷	tou1+54
偸	tou1+1
偻	lou2+4,lu:3+1
偾	fen4+2
偿	chang2+24
傀	gui1+1,kui3+4
傅	Fu4+9,fu4+3,fu5+1
傈	Li4+6
傍	bang4+17
傎	dian1+1
傒	xi1+1
傓	shan1+1
傔	qian4+1
傕	Jue2+1,jue2+1
傜	yao2+1
傞	suo1+1
傢	jia1+1
傣	Dai3+11
傤	zai4+1
傥	tang3+2
傧	bin1+4
储	Chu3+2,chu3+51
傩	nuo2+3
催	cui1+41
傮	zao1+1
傲	Ao4+1,ao4+27
傺	chi4+1
傻	sha3+35
傿	Yan1+1,yan4+1
僃	bei4+1
僄	piao4+1
僇	lu4+1
働	xx5+1
僎	zhuan4+1
像	xiang4+94
僔	zun3+1
僖	Xi1+2,xi1+1
僚	Liao2+1,liao2+9
僜	Deng4+1
僝	chan2+1
僣	jian4+1
僦	jiu4+1
僧	Seng1+3,seng1+20
僩	xian4+1
僬	Jiao1+2,jiao1+3
僭	jian4+4
僮	Zhuang4+2,tong2+3
僯	lin3+1
僰	Bo2+1
僳	Su4+1,su4+5
僴	xian4+1
僵	jiang1+24
僻	pi4+16
僾	ai4+1
僿	sai4+1
儃	chan2+1
儅	dang1+2
儆	jing3+6
儇	Xuan1+1,xuan1+1
儊	chu4+1
儋	Dan1+3,dan1+1
儌	jiao3+1
儍	sha3+1
儒	Ru2+12,ru2+18
儓	tai2+1
儜	ning2+1
儞	ni3+1
儡	lei3+4
儤	bao4+1
儦	biao1+1
儩	si4+1
儭	chen4+1
儱	long3+1
儳	chan4+1
儹	zan3+1
儽	lei3+1
儿	Er2+7,er2+121,r5+664,ren2+1
兀	Wu4+1,wu4+14
